Player,Nationality,Teams Played For
Suman Tirumalasetti,IND,DQ
Sumanth Bodapati,IND,DQ
Sumit Kumar,IND,DC
Sumit Narwal,IND,"KKR, RR"
Sunil Joshi,IND,RCB
Sunil Narine,WI,KKR
Sunny Gupta,IND,DC
Sunny Sohal,IND,"DQ, RCB"
Suraj Randiv,SL,CSK
Suresh Raina,IND,"CSK, GL"
Suryakumar Yadav,IND,"KKR, MI"
Sushant Marathe,IND,MI
Suyash Prabhudessai,IND,RCB
Suyash Sharma,IND,"KKR, RCB"
Swapnil Asnodkar,IND,RR
Swapnil Singh,IND,"LSG, MI, RCB"
Swastik Chikara,IND,RCB
Syed Mohammed,IND,RCB
Syed Shahabuddin,IND,MI
T. Natarajan,IND,SRH
Tabraiz Shamsi,SA,"RCB, RR"
Tajinder Singh,IND,MI
Tamim Iqbal,BAN,PWI
Tanmay Mishra,KEN,RCB
Tanmay Srivastava,IND,KTK
Tanush Kotian,IND,RR
Taruwar Kohli,IND,RR
Tatenda Taibu,ZIM,KKR
Tejas Baroka,IND,GL
Thalaivan Sargunam,IND,SRH
Thilan Thushara,SL,CSK
Thisara Perera,SL,"CSK, KTK, MI, RPSG, SRH"
Tilak Varma,IND,MI
Tillakaratne Dilshan,SL,"DC, RCB"
Tim David,AUS,"MI, RCB"
Tim Seifert,NZ,DC
Tim Southee,NZ,"KKR, MI, RCB, RR"
Tirumalasetti Suman,IND,MI
Tom Curran,ENG,"DC, KKR, RCB, RR"
Tom Kohler-Cadmore ‡,ENG,RR
Travis Birt,AUS,DC
Travis Head,AUS,"RCB, SRH"
Trent Boult,NZ,"DC, KKR, MI, RR, SRH"
Tristan Stubbs,SA,"DC, MI"
Tushar Deshpande,IND,"CSK, DC"
Tushar Deshpande §,IND,RR
Tymal Mills,ENG,"MI, RCB"
Tyron Henderson,SA,RR
Udit Birla,IND,PWI
Umang Sharma,IND,GL
Umar Gul,PAK,KKR
Umesh Yadav,IND,"DC, KKR, RCB"
Umran Malik,IND,SRH
Unmukt Chand,USA,"DC, MI, RR"
Urvil Patel,IND,GT
VVS Laxman,IND,"DQ, KTK"
Vaibhav Arora,IND,"KKR, PBKS"
Vaibhav Sooryavanshi §,IND,RR
Varun Aaron,IND,"DC, GT, PBKS, RCB, RR"
Varun Chakaravarthy,IND,KKR
Venkatesh Iyer,IND,KKR
Venugopal Rao,IND,"DC, DQ, SRH"
Vignesh Puthur,IND,MI
Vijay Kumar,IND,DQ
Vijay Shankar,IND,"DC, GT, SRH"
Vijay Zol,IND,RCB
Vijayakanth Viyaskanth,IND,SRH
Vijaykumar Vyshak,IND,PBKS
Vikas Tokas,IND,RCB
Vikramjeet Malik,IND,"RCB, RR"
Vikrant Yeligati,IND,MI
Vinay Kumar,IND,"KKR, KTK, MI, RCB"
Vipin sevaram,IND,MI
Vipraj Nigam,IND,DC
Virat Kohli,IND,RCB
Virat Singh,IND,SRH
Virender Sehwag,IND,"DC, PBKS"
Vishnu Vinod,IND,"MI, RCB"
Vivrant Sharma,IND,SRH
Vyshak Vijaykumar,IND,RCB
Wanindu Hasaranga,SL,"RCB, RR"
Washington Sundar,IND,"GT, RCB, RPSG, SRH"
Wasim Jaffer,IND,RCB
Wayne Parnell,SA,"DC, PWI, RCB"
Wiaan Mulder,SA,SRH
Will Jacks,ENG,"MI, RCB"
Wriddhiman Saha,IND,"CSK, GT, PBKS, SRH"
Xavier Bartlett,AUS,PBKS
Yash Dayal,IND,"GT, RCB"
Yash Dhull,IND,DC
Yash Thakur,IND,"LSG, PBKS"
Yashasvi Jaiswal §,IND,RR
Yashpal Singh,IND,"KKR, KTK"
Yo Mahesh,IND,DC
Yogesh Nagar,IND,DC
Yogesh Takawale,IND,"MI, RCB"
Younis Khan,PAK,RR
Yudhvir Charak,IND,LSG
Yudhvir Singh,IND,MI
Yudhvir Singh §,IND,RR
Yusuf Abdullah,SA,PBKS
Yusuf Pathan,IND,"KKR, RR, SRH"
Yuvraj Chaudhary,IND,LSG
Yuvraj Singh,IND,"DC, MI, PBKS, PWI, RCB, SRH"
Yuzvendra Chahal,IND,"MI, PBKS, RCB, RR"
Zaheer Khan,IND,"DC, MI, RCB"
Zeeshan Ansari,IND,SRH
